x,y,angle,end1_x,end1_y,end2_x,end2_y,corrected
-10.0,42.0,0.0,10.0,42.0,-30.0,42.0,yes
10.0,62.0,90.0,10.000000000000002,81.99999999999955,9.999999999999998,41.999999999999545,yes
26.9282,60.0,0.0,46.92820323027553,59.99999999999909,6.928203230275525,59.99999999999909,no
60.7846,60.0,0.0,80.78460969082657,59.99999999999909,40.78460969082657,59.99999999999909,no
94.641,60.0,0.0,68.48582293742011,58.61206546710407,32.233511455954115,41.70733499747609,yes
128.4974,60.0,0.0,148.49742261192867,59.99999999999909,108.49742261192867,59.99999999999909,no
162.3538,60.0,0.0,182.35382907247973,59.99999999999909,142.35382907247973,59.99999999999909,no
196.2102,60.0,0.0,216.21023553303078,59.99999999999909,176.21023553303078,59.99999999999909,no
213.1384,45.0,-90.0,213.1384387633063,24.999999999999318,213.1384387633063,64.99999999999932,no
213.1384,15.0,-90.0,213.1384387633063,-5.000000000000227,213.1384387633063,34.99999999999977,no
196.2102,0.0,180.0,176.21023553303078,2.4492935982947065e-15,216.21023553303078,-2.4492935982947065e-15,no
162.3538,0.0,180.0,142.35382907247975,2.4492935982947065e-15,182.35382907247975,-2.4492935982947065e-15,no
128.4974,0.0,180.0,108.4974226119287,2.4492935982947065e-15,148.4974226119287,-2.4492935982947065e-15,no
94.641,0.0,180.0,74.64101615137764,2.4492935982947065e-15,114.64101615137764,-2.4492935982947065e-15,no
60.7846,0.0,180.0,40.784609690826585,2.4492935982947065e-15,80.78460969082658,-2.4492935982947065e-15,no
26.9282,0.0,180.0,6.928203230275528,2.4492935982947065e-15,46.92820323027553,-2.4492935982947065e-15,no
10.0,-2.0,90.0,10.000000000000002,18.0,9.999999999999998,-22.0,yes
-10.0,18.0,180.0,-30.0,18.000000000000004,10.0,17.999999999999996,yes
0.0,30.0,90.0,1.2246467991473533e-15,50.0,-1.2246467991473533e-15,10.0,no
